source,target,relation,source_type,target_type
console_script:quant-trader,module:src.main,executes,console_script,python_module
console_script:data-ingest,module:src.data.hyperliquid_client,executes,console_script,python_module
console_script:strategy-evolve,module:src.strategy.evolution_engine,executes,console_script,python_module
console_script:backtest-runner,module:src.backtesting.vectorbt_engine,executes,console_script,python_module
console_script:cli-dashboard,module:src.monitoring.cli_dashboard,executes,console_script,python_module
module:src/data/fear_greed_client.py,market_data:fear_greed,uses,python_module,external_resource
module:src/data/hyperliquid_client.py,exchange:hyperliquid,uses,python_module,external_resource
module:scripts/validation/validate_phase4_neon_integration.py,database:postgres,uses,python_module,external_resource
module:scripts/evolution/ultra_compressed_evolution.py,ray_remote:scripts/evolution/ultra_compressed_evolution.py:_evolve_batch_on_ray,defines,python_module,ray_remote_function
module:tests/unit/test_fear_greed_client.py,market_data:fear_greed,uses,python_module,external_resource
module:tests/unit/test_hyperliquid_client.py,exchange:hyperliquid,uses,python_module,external_resource
service:ray-head,command:head,executes,docker_service,service_command
service:ray-worker-1,command:worker,executes,docker_service,service_command
service:ray-worker-2,command:worker,executes,docker_service,service_command
service:genetic-pool,command:distributed,executes,docker_service,service_command
service:prometheus,command:--config.file=/etc/prometheus/prometheus.yml,executes,docker_service,service_command
service:dev-tools,command:shell,executes,docker_service,service_command
module:src/execution/cloud_ga_coordinator.py,ray_remote:src/execution/cloud_ga_coordinator.py:_evolve_generation_on_worker,defines,unknown,ray_remote_function
module:src/execution/genetic_strategy_pool.py,ray_remote:src/execution/genetic_strategy_pool.py:evaluate_individual_distributed,defines,unknown,ray_remote_function
